aX,aY,aZ,gX,gY,gZ
-0.670,0.196,-0.816,24.414,23.010,-2.380
-0.674,0.311,-0.757,27.405,14.343,6.592
-0.680,0.331,-0.751,29.907,4.822,15.442
-0.689,0.321,-0.738,29.480,-3.784,21.301
-0.709,0.317,-0.710,25.879,-9.644,21.912
-0.714,0.285,-0.713,19.104,-10.803,16.724
-0.702,0.274,-0.737,11.230,-8.606,8.179
-0.656,0.228,-0.739,5.310,-7.263,1.282
-0.613,0.181,-0.761,1.160,-7.507,-2.441
-0.583,0.145,-0.828,-3.845,-8.301,-2.625
-0.545,0.137,-0.877,-5.493,-10.132,-2.075
-0.483,0.127,-0.895,-5.066,-12.695,-0.732
-0.441,0.129,-0.914,-4.333,-13.550,1.404
-0.402,0.127,-0.923,-3.052,-13.306,4.272
-0.373,0.091,-0.919,-1.648,-12.268,6.409
-0.401,0.043,-0.934,-1.770,-10.437,8.240
-0.450,0.033,-0.961,-1.648,-9.155,9.766
-0.483,0.041,-0.954,1.709,-7.996,8.423
-0.476,0.056,-0.905,6.226,-6.226,4.639
-0.474,0.063,-0.877,7.507,-2.747,0.488
-0.486,0.075,-0.885,5.981,1.465,-0.488
-0.533,0.117,-0.859,5.249,5.798,-0.610
-0.524,0.140,-0.823,6.836,6.836,1.038
-0.510,0.170,-0.807,6.287,6.287,2.075
-0.531,0.173,-0.833,2.319,6.165,-1.099
-0.522,0.172,-0.862,1.892,5.676,-1.282
-0.522,0.164,-0.862,4.639,3.418,0.122
-0.535,0.145,-0.843,7.507,0.793,0.427
-0.549,0.128,-0.848,8.240,1.343,-0.305
-0.554,0.127,-0.859,8.240,2.930,-1.221
-0.542,0.129,-0.844,8.972,3.113,-2.380
-0.529,0.140,-0.838,8.301,3.113,-2.502
-0.542,0.209,-0.825,6.287,3.174,-0.366
-0.530,0.246,-0.811,5.920,1.221,1.648
-0.515,0.246,-0.811,5.310,-0.671,1.770
-0.499,0.229,-0.829,3.174,-1.953,1.892
-0.497,0.181,-0.865,1.953,-2.625,2.075
-0.494,0.143,-0.877,3.235,-3.723,3.235
-0.496,0.090,-0.868,6.042,-4.272,4.578
-0.513,0.077,-0.868,6.531,-3.296,5.432
-0.523,0.079,-0.876,6.470,-0.732,4.761
-0.516,0.093,-0.878,6.836,1.648,2.563
-0.494,0.099,-0.894,8.179,3.784,0.610
-0.483,0.118,-0.893,10.254,3.967,0.549
-0.485,0.123,-0.879,13.550,2.441,1.343
-0.505,0.144,-0.861,16.418,1.526,1.831
-0.528,0.148,-0.838,18.616,1.221,0.916
-0.538,0.148,-0.811,19.348,1.038,-2.136
-0.537,0.147,-0.819,16.968,3.113,-5.737
-0.533,0.144,-0.837,15.015,5.981,-8.423
-0.507,0.143,-0.861,14.343,6.714,-9.521
-0.480,0.146,-0.884,14.648,6.714,-8.240
-0.460,0.149,-0.898,15.808,5.005,-4.761
-0.470,0.145,-0.923,17.822,3.296,-1.038
-0.508,0.168,-0.919,21.484,0.916,2.441
-0.512,0.183,-0.878,26.550,-2.686,3.601
-0.513,0.201,-0.842,28.992,-4.272,2.319
-0.513,0.218,-0.817,28.992,-2.930,-0.305
-0.489,0.222,-0.798,26.733,-1.282,-2.747
