aX,aY,aZ,gX,gY,gZ
-0.036,-0.656,0.534,-11.475,18.555,22.522
0.024,-0.669,0.477,-13.489,11.047,13.367
0.046,-0.736,0.475,-10.132,1.587,3.113
0.042,-0.801,0.527,-2.441,-3.845,-2.869
0.020,-0.863,0.587,2.930,-4.883,-1.526
-0.006,-0.883,0.631,4.944,-2.747,5.615
-0.013,-0.876,0.658,4.517,1.404,13.977
0.000,-0.868,0.639,0.183,3.967,19.897
0.003,-0.854,0.610,-5.859,3.906,22.034
0.025,-0.847,0.590,-10.559,2.136,21.179
0.039,-0.840,0.587,-13.550,0.610,20.142
0.037,-0.817,0.590,-14.709,-0.061,21.667
0.034,-0.803,0.583,-14.832,1.038,25.452
0.025,-0.777,0.569,-14.160,2.686,28.931
0.030,-0.765,0.572,-12.146,2.197,29.663
0.020,-0.768,0.596,-10.925,-1.587,27.222
-0.026,-0.787,0.627,-10.864,-5.981,23.132
-0.046,-0.802,0.660,-11.841,-8.484,17.456
-0.035,-0.817,0.670,-14.099,-7.812,13.977
-0.016,-0.826,0.662,-16.968,-4.333,15.320
0.006,-0.834,0.647,-18.555,0.244,19.836
0.050,-0.839,0.626,-19.165,5.310,25.330
0.096,-0.829,0.603,-19.653,9.277,29.602
0.137,-0.798,0.576,-20.813,10.437,31.494
0.162,-0.787,0.552,-20.447,8.667,31.799
0.144,-0.774,0.562,-18.372,4.822,31.555
0.129,-0.774,0.583,-17.456,-0.183,29.419
0.111,-0.786,0.614,-18.921,-5.371,26.672
0.095,-0.786,0.642,-20.264,-8.362,25.879
0.088,-0.805,0.657,-20.996,-7.385,28.320
0.091,-0.848,0.647,-21.912,-4.639,34.546
0.084,-0.871,0.647,-21.973,-1.831,41.748
0.083,-0.866,0.664,-21.667,0.916,48.218
0.090,-0.833,0.691,-22.339,3.357,52.490
0.097,-0.798,0.691,-23.987,5.798,54.199
0.123,-0.774,0.679,-27.283,7.446,54.199
0.140,-0.737,0.668,-29.358,8.057,53.223
0.144,-0.717,0.654,-30.701,7.446,51.819
0.154,-0.713,0.651,-30.823,5.432,49.194
0.149,-0.716,0.656,-30.212,2.197,45.776
0.131,-0.720,0.664,-29.236,-1.831,42.236
0.099,-0.718,0.687,-28.809,-5.798,39.856
0.074,-0.717,0.710,-27.710,-9.094,37.659
0.064,-0.717,0.734,-27.283,-9.338,35.828
0.068,-0.716,0.756,-27.283,-8.179,34.851
0.084,-0.711,0.762,-28.137,-3.662,36.560
0.119,-0.688,0.762,-28.320,2.930,38.940
0.167,-0.675,0.740,-28.320,8.728,41.321
0.204,-0.679,0.706,-30.029,10.559,43.030
0.213,-0.693,0.683,-31.799,7.446,42.114
0.207,-0.729,0.673,-31.921,1.953,39.856
0.182,-0.765,0.682,-30.701,-3.113,38.513
0.146,-0.767,0.741,-28.320,-5.859,39.307
0.143,-0.729,0.805,-24.963,-4.761,40.222
0.129,-0.724,0.826,-25.818,-0.671,41.565
0.127,-0.703,0.826,-29.297,3.296,43.945
0.131,-0.689,0.806,-31.433,6.897,45.105
0.156,-0.714,0.776,-33.875,9.155,44.556
0.184,-0.747,0.747,-36.804,8.850,42.480
0.206,-0.760,0.732,-39.673,7.019,40.222
0.233,-0.756,0.717,-42.725,5.737,40.466
0.260,-0.725,0.706,-45.715,6.348,43.396
0.265,-0.689,0.695,-46.753,7.690,47.729
0.262,-0.672,0.696,-47.180,8.362,51.819
0.255,-0.647,0.714,-46.143,7.812,53.711
-0.307,1.486,0.958,61.157,19.714,-49.255
-0.416,1.619,0.979,73.242,24.048,-49.194
-0.543,1.923,1.041,85.449,30.396,-45.715
-0.699,2.288,1.086,99.670,36.804,-41.565
-0.938,2.786,1.076,113.342,46.448,-34.912
-1.227,3.544,0.990,131.775,60.913,-24.597
-1.552,4.000,0.725,162.964,82.581,-25.269
-1.871,4.000,0.277,215.454,103.455,-57.251
-2.058,3.999,-0.109,283.081,109.497,-135.620
-2.108,3.205,-0.460,348.328,96.619,-255.737
-1.853,1.794,-0.908,392.822,70.618,-386.169
-1.078,-0.243,-1.400,416.077,34.180,-477.478
-0.003,-1.912,-1.541,423.279,-24.414,-484.924
-0.109,-2.071,-1.243,405.396,-100.647,-419.434
-0.640,-2.097,-1.349,364.685,-135.681,-330.933
-1.155,-2.309,-1.975,353.333,-103.088,-252.319
-1.596,-2.631,-2.472,382.507,-51.636,-219.849
-1.787,-3.346,-2.566,428.284,-36.072,-266.357
-1.749,-4.000,-2.181,462.646,-58.533,-372.925
-1.560,-4.000,-1.421,468.262,-98.816,-478.943
-1.300,-4.000,-0.145,449.585,-116.089,-509.338
-0.650,-4.000,1.132,408.325,-52.734,-439.941
0.478,-4.000,1.298,329.773,114.014,-279.297
1.700,-3.517,0.457,210.327,287.598,-80.017
2.604,-2.343,-0.560,116.943,350.464,76.782
2.736,-1.579,-1.012,47.791,274.109,112.671
2.101,-1.343,-0.872,-3.784,103.882,51.208
1.175,-1.393,-0.385,-34.302,-48.218,-17.517
0.325,-1.505,0.087,-50.049,-114.990,-36.560
-0.320,-1.444,0.394,-54.565,-109.131,-7.690
-0.768,-1.307,0.512,-58.105,-68.420,33.997
-0.734,-1.078,0.524,-60.791,-25.696,56.152
-0.625,-0.778,0.459,-71.655,-1.892,49.500
-0.421,-0.545,0.305,-84.473,4.395,32.715
-0.167,-0.444,0.119,-84.412,6.653,16.968
0.040,-0.487,0.013,-67.505,1.038,5.127
0.254,-0.620,0.048,-39.001,-5.493,-2.136
0.222,-0.812,0.247,-12.878,-16.174,-8.972
0.175,-1.032,0.410,-6.104,-32.410,-6.104
0.047,-1.138,0.539,-10.803,-39.795,4.761
-0.125,-1.103,0.672,-16.052,-34.607,21.423
-0.243,-1.011,0.692,-24.963,-19.897,41.443
-0.240,-0.847,0.604,-35.278,-1.282,55.359
-0.150,-0.655,0.467,-43.213,13.794,58.472
-0.021,-0.548,0.322,-47.424,17.639,50.354
0.083,-0.529,0.250,-43.335,8.850,34.180
0.121,-0.609,0.269,-31.982,-6.226,17.395
0.092,-0.739,0.370,-17.517,-19.836,6.897
0.059,-0.862,0.484,-5.005,-25.391,5.249
-0.006,-0.921,0.579,1.282,-24.109,10.620
-0.096,-0.930,0.640,1.526,-19.287,19.348
-0.183,-0.915,0.667,-2.869,-13.123,26.306
-0.204,-0.873,0.640,-9.460,-5.127,27.954
-0.163,-0.820,0.589,-15.808,1.953,25.574
-0.108,-0.774,0.543,-18.311,7.629,23.132
-0.040,-0.738,0.495,-16.968,13.367,22.644
0.028,-0.738,0.448,-11.536,18.311,23.437
0.090,-0.770,0.447,-5.676,18.860,23.010
0.101,-0.812,0.471,-3.113,12.573,20.203
0.068,-0.853,0.506,-4.333,4.211,16.357
0.022,-0.875,0.539,-6.287,-1.831,14.160
0.001,-0.889,0.569,-8.057,-3.662,14.221
-0.014,-0.896,0.583,-10.315,-2.869,15.808
-0.033,-0.908,0.589,-12.512,-0.488,18.188
-0.020,-0.903,0.600,-13.611,3.296,20.813
0.012,-0.897,0.581,-14.771,8.240,23.132
0.049,-0.871,0.545,-16.663,10.010,25.452
0.068,-0.856,0.516,-18.066,8.118,25.330
0.060,-0.846,0.515,-18.005,3.723,23.560
0.050,-0.846,0.524,-16.968,-1.282,20.264
0.048,-0.870,0.535,-15.686,-5.127,17.151
0.051,-0.888,0.560,-13.672,-6.714,16.968
0.060,-0.920,0.575,-12.024,-5.798,19.531
0.074,-0.944,0.591,-12.207,-3.723,23.376
0.080,-0.941,0.605,-13.245,-2.197,26.550
0.078,-0.921,0.597,-16.846,-1.648,29.846
0.083,-0.870,0.583,-19.287,-1.709,32.227
0.086,-0.839,0.560,-20.691,-2.136,32.715
0.067,-0.832,0.539,-21.606,-4.272,32.043
0.050,-0.825,0.545,-20.508,-5.981,31.189
0.054,-0.830,0.552,-18.494,-6.958,29.968
0.062,-0.856,0.553,-17.334,-7.446,30.457
0.083,-0.885,0.574,-17.273,-7.690,32.776
0.114,-0.912,0.589,-17.883,-7.080,36.072
0.112,-0.926,0.613,-21.973,-7.935,41.321
0.106,-0.891,0.629,-26.611,-9.277,44.556
0.101,-0.875,0.610,-31.799,-9.583,44.495
0.080,-0.869,0.599,-35.889,-10.559,43.030
0.073,-0.869,0.608,-36.011,-11.047,40.771
0.067,-0.879,0.613,-34.607,-10.437,40.161
0.059,-0.864,0.628,-33.569,-8.301,42.297
0.050,-0.827,0.644,-32.898,-4.456,46.143
0.049,-0.795,0.641,-32.715,-0.610,48.462
0.064,-0.790,0.618,-33.813,1.953,48.645
0.085,-0.811,0.599,-35.767,1.709,47.485
0.076,-0.830,0.599,-37.659,-0.854,46.753
0.077,-0.868,0.596,-39.429,-1.404,46.875
0.100,-0.876,0.613,-40.344,0.793,47.607
0.151,-0.835,0.647,-41.748,4.456,47.424
0.191,-0.791,0.660,-45.471,6.836,47.241
0.213,-0.761,0.646,-50.537,6.470,48.828
0.183,-0.749,0.633,-54.382,3.723,51.331
0.138,-0.751,0.625,-55.115,0.427,54.016
0.118,-0.771,0.634,-52.979,-0.183,55.176
0.106,-0.789,0.660,-50.781,0.671,56.152
0.115,-0.776,0.689,-49.988,2.686,56.335
0.141,-0.747,0.693,-51.331,5.066,54.382
